probes,moduleColor,GS.PCD,p.GS.PCD,MEyellow,MEyellow
APOBEC3H,yellow,0.351457387,1.25934E-13,0.741862838,2.20136E-74
APOL4,yellow,0.188937995,9.98273E-05,0.341171912,7.00791E-13
APOL1,yellow,0.20522712,2.30092E-05,0.166335448,0.000629734
GRAP2,yellow,0.204415173,2.48257E-05,0.502401007,3.52185E-28
NCF4,yellow,0.343059333,5.13856E-13,0.698112851,1.74676E-62
CSF2RB,yellow,0.487388922,2.19676E-26,0.830192613,7.055E-108
IL2RB,yellow,0.401003115,1.28466E-17,0.769054368,4.47467E-83
GZMH,yellow,0.253154597,1.50242E-07,0.61042237,3.89091E-44
GZMB,yellow,0.20592113,2.15571E-05,0.504699342,1.83668E-28
AP4S1,yellow,-0.030614314,0.532014515,0.301093337,3.14617E-10
NIN,yellow,0.208168714,1.7428E-05,0.523845838,6.65712E-31
PSMA3,yellow,-0.003242751,0.947235047,0.265814685,3.3036E-08
TMED8,yellow,0.207262687,1.8993E-05,0.569644652,2.04846E-37
RIN3,yellow,0.247127114,3.00505E-07,0.316574319,3.30961E-11
LGMN,yellow,0.383059881,4.30057E-16,0.60291844,7.94347E-43
ASB2,yellow,0.314607067,4.43853E-11,0.782354119,8.92835E-88
SERPINA4,yellow,-0.227539785,2.53152E-06,-0.297266295,5.38038E-10
TCL1A,yellow,0.122115738,0.012365165,0.684350725,3.5526E-59
PCK2,yellow,-0.223821418,3.71629E-06,-0.328493132,5.33751E-12
PSME2,yellow,-0.149127673,0.002209092,0.205027855,2.34429E-05
REC8,yellow,0.135519497,0.005460096,0.460859423,2.01841E-23
MMP9,yellow,0.146890285,0.002576983,0.34529559,3.54818E-13
CD40,yellow,0.068110996,0.164028771,0.348224418,2.17474E-13
HNF4A,yellow,-0.408111017,3.01078E-18,-0.263848255,4.20192E-08
SLA2,yellow,0.399871906,1.61317E-17,0.882829844,6.1929E-139
NFATC2,yellow,0.254058142,1.35205E-07,0.544482079,1.02996E-33
STK4,yellow,0.161773916,0.000889101,0.745579636,1.66065E-75
PROKR2,yellow,0.025372448,0.604532988,0.086912348,0.075551673
SIRPB1,yellow,0.430705258,2.36051E-20,0.546674608,5.04267E-34
HCK,yellow,0.495645284,2.32034E-27,0.761581694,1.4295E-80
SAMHD1,yellow,0.256515699,1.01283E-07,0.535588838,1.76917E-32
PPP1R16B,yellow,0.39758607,2.54896E-17,0.576527648,1.748E-38
SMCHD1,yellow,0.174458113,0.000333285,0.650828227,7.7848E-52
SMAD7,yellow,0.329831685,4.32668E-12,0.438403815,4.15501E-21
VSIG1,yellow,0.127583189,0.00893704,0.192982102,7.01196E-05
TLR8,yellow,0.387840696,1.72321E-16,0.678477268,8.07941E-58
CACNA1F,yellow,-0.0221068,0.651832288,0.304383904,1.97092E-10
BMX,yellow,0.427847315,4.44838E-20,0.310595716,8.02147E-11
MTMR8,yellow,0.12397068,0.011090311,0.411326151,1.54408E-18
PIM2,yellow,0.188777191,0.000101224,0.676515444,2.25712E-57
CD40LG,yellow,0.363060575,1.68238E-14,0.801761022,2.9092E-95
TIMP1,yellow,0.336823089,1.42102E-12,0.288952149,1.68014E-09
PCDH11X,yellow,0.099973466,0.040813545,0.640669712,8.62732E-50
BEX4,yellow,0.05175051,0.29057994,0.2933644,9.22338E-10
RUBCNL,yellow,0.329522148,4.54234E-12,0.777031633,7.42428E-86
TNFSF13B,yellow,0.390192165,1.09291E-16,0.879321064,1.9794E-136
FLT1,yellow,0.270063494,1.95157E-08,0.269874198,1.99827E-08
RGCC,yellow,0.248736376,2.50167E-07,0.209827664,1.48746E-05
ACOD1,yellow,0.194110824,6.34537E-05,0.472685364,1.03752E-24
TRADD,yellow,-0.023433235,0.632437344,0.31391803,4.91657E-11
CORO1A,yellow,0.357418533,4.5235E-14,0.931115833,9.1492E-185
N4BP1,yellow,0.15441233,0.001522639,0.501243857,4.87879E-28
CCL22,yellow,0.382006549,5.25008E-16,0.499770705,7.37442E-28
CCL17,yellow,0.173395869,0.000362792,0.381334962,5.95995E-16
USB1,yellow,0.223267137,3.93297E-06,0.415635402,6.23781E-19
